STATION,DATE,EMXT,EMNT
GHCND:USW00014837,20040201,128,-228
GHCND:USW00014837,20040301,189,-122
GHCND:USW00014837,20040401,278,-61
GHCND:USW00014837,20040501,289,-28
GHCND:USW00014837,20040601,311,61
GHCND:USW00014837,20040701,317,106
GHCND:USW00014837,20040801,300,67
GHCND:USW00014837,20040901,294,22
GHCND:USW00014837,20041001,239,-22
GHCND:USW00014837,20041101,183,-83
GHCND:USW00014837,20041201,133,-211
GHCND:USW00014837,20050101,44,-233
GHCND:USW00014837,20050201,100,-139
GHCND:USW00014837,20050301,217,-156
GHCND:USW00014837,20050401,272,-11
GHCND:USW00014837,20050501,272,-22
GHCND:USW00014837,20050601,339,78
GHCND:USW00014837,20050701,344,78
GHCND:USW00014837,20050801,339,83
GHCND:USW00014837,20050901,333,33
GHCND:USW00014837,20051001,306,-44
GHCND:USW00014837,20051101,183,-128
GHCND:USW00014837,20051201,67,-211
GHCND:USW00014837,20060101,106,-139
GHCND:USW00014837,20060201,117,-272
GHCND:USW00014837,20060301,189,-133
GHCND:USW00014837,20060401,289,-50
GHCND:USW00014837,20060501,322,0
GHCND:USW00014837,20060601,317,61
GHCND:USW00014837,20060701,350,111
GHCND:USW00014837,20060801,333,100
GHCND:USW00014837,20060901,278,22
GHCND:USW00014837,20061001,283,-50
GHCND:USW00014837,20061101,206,-89
GHCND:USW00014837,20061201,111,-156
GHCND:USW00014837,20070101,94,-194
GHCND:USW00014837,20070201,83,-267
GHCND:USW00014837,20070301,261,-156
GHCND:USW00014837,20070401,294,-72
GHCND:USW00014837,20070501,306,28
GHCND:USW00014837,20070601,322,83
GHCND:USW00014837,20070701,333,94
GHCND:USW00014837,20070801,328,111
GHCND:USW00014837,20070901,317,0
GHCND:USW00014837,20071001,306,-17
GHCND:USW00014837,20071101,150,-106
GHCND:USW00014837,20071201,39,-233
GHCND:USW00014837,20080101,100,-244
GHCND:USW00014837,20080201,39,-261
GHCND:USW00014837,20080301,106,-178
GHCND:USW00014837,20080401,244,-56
GHCND:USW00014837,20080501,278,0
GHCND:USW00014837,20080601,300,100
GHCND:USW00014837,20080701,311,94
GHCND:USW00014837,20080801,311,89
GHCND:USW00014837,20080901,333,44
GHCND:USW00014837,20081001,283,-39
GHCND:USW00014837,20081101,222,-111
GHCND:USW00014837,20081201,94,-233
GHCND:USW00014837,20090101,39,-283
GHCND:USW00014837,20090201,122,-206
GHCND:USW00014837,20090301,217,-156
GHCND:USW00014837,20090401,278,-28
GHCND:USW00014837,20090501,283,22
GHCND:USW00014837,20090601,344,44
GHCND:USW00014837,20090701,278,83
GHCND:USW00014837,20090801,306,44
GHCND:USW00014837,20090901,289,11
GHCND:USW00014837,20091001,211,-33
GHCND:USW00014837,20091101,217,-44
GHCND:USW00014837,20091201,100,-194
GHCND:USW00014837,20100101,33,-239
GHCND:USW00014837,20100201,33,-189
GHCND:USW00014837,20100301,239,-128
GHCND:USW00014837,20100401,272,-39
GHCND:USW00014837,20100501,328,-6
GHCND:USW00014837,20100601,300,100
GHCND:USW00014837,20100701,322,150
GHCND:USW00014837,20100801,333,89
GHCND:USW00014837,20100901,300,17
GHCND:USW00014837,20101001,294,-28
GHCND:USW00014837,20101101,200,-89
GHCND:USW00014837,20101201,89,-233
GHCND:USW00014837,20110101,17,-261
GHCND:USW00014837,20110201,111,-250
GHCND:USW00014837,20110301,156,-106
GHCND:USW00014837,20110401,272,-33
GHCND:USW00014837,20110501,311,-28
GHCND:USW00014837,20110601,356,72
GHCND:USW00014837,20110701,361,117
GHCND:USW00014837,20110801,333,94
GHCND:USW00014837,20110901,333,22
GHCND:USW00014837,20111001,278,-28
GHCND:USW00014837,20111101,172,-72
GHCND:USW00014837,20111201,111,-128
GHCND:USW00014837,20120101,117,-222
GHCND:USW00014837,20120201,94,-144
GHCND:USW00014837,20120301,283,-122
GHCND:USW00014837,20120401,228,-33
GHCND:USW00014837,20120501,344,33
GHCND:USW00014837,20120601,361,67
GHCND:USW00014837,20120701,400,128
GHCND:USW00014837,20120801,333,67
GHCND:USW00014837,20120901,339,0
GHCND:USW00014837,20121001,244,-50
GHCND:USW00014837,20121101,189,-117
GHCND:USW00014837,20121201,183,-161
GHCND:USW00014837,20130101,122,-217
GHCND:USW00014837,20130201,72,-211
GHCND:USW00014837,20130301,111,-194
GHCND:USW00014837,20130401,300,-66
GHCND:USW00014837,20130501,311,-5
GHCND:USW00014837,20130601,311,50
GHCND:USW00014837,20130701,339,106
GHCND:USW00014837,20130801,339,78
GHCND:USW00014837,20130901,344,44
GHCND:USW00014837,20131001,261,-27
GHCND:USW00014837,20131101,144,-132
GHCND:USW00014837,20131201,100,-255
